facility_name,osm_id,latitude,longitude,image_path,fetch_status,fetch_error,ground_size_m,fetched_at,image_px,image_capture_date_note,resolution_check_status
"Parking Spot (-1.3288, 36.8720)",1547764688,-1.32883882,36.871955660000005,esri_imagery\1547764688.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3290, 36.8715)",1547764689,-1.3289791666666666,36.87149026666666,esri_imagery\1547764689.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3289, 36.8710)",1550660821,-1.32890294,36.870956320000005,esri_imagery\1550660821.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2964, 36.7636)",1147544484,-1.29638415,36.7635842,esri_imagery\1147544484.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2983, 36.8023)",1239066559,-1.2983483,36.80226144,esri_imagery\1239066559.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2982, 36.8023)",1239066560,-1.2982388142857142,36.802291585714286,esri_imagery\1239066560.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
Supa's Garage,382256363,-1.306461508333333,36.83415405833333,esri_imagery\382256363.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3071, 36.8348)",1004336474,-1.30709796,36.83481728,esri_imagery\1004336474.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3070, 36.8337)",1004336475,-1.3070281142857143,36.833702114285714,esri_imagery\1004336475.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3072, 36.8347)",1550083504,-1.3071777,36.83468266,esri_imagery\1550083504.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3053, 36.8393)",1550329428,-1.3053007600000002,36.83928672,esri_imagery\1550329428.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3054, 36.8393)",1550329429,-1.3053863,36.83934372,esri_imagery\1550329429.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3052, 36.8391)",1550329430,-1.3052107200000005,36.83910741999999,esri_imagery\1550329430.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
Engineers Board of Kenya,5383782003,-1.2918266,36.8125679,esri_imagery\5383782003.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3005, 36.8128)",1412128799,-1.30045552,36.81276458,esri_imagery\1412128799.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2996, 36.8130)",1412128800,-1.29960762,36.81295018,esri_imagery\1412128800.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2905, 36.8197)",1547706891,-1.29047958,36.81965914,esri_imagery\1547706891.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2903, 36.8205)",1547706892,-1.29031122,36.8205133,esri_imagery\1547706892.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2901, 36.8206)",1547706894,-1.2901461166666666,36.82060346666666,esri_imagery\1547706894.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2902, 36.8207)",1547706897,-1.29016996,36.8207088,esri_imagery\1547706897.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3022, 36.8254)",1547762849,-1.3021613500000002,36.82541956666667,esri_imagery\1547762849.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2900, 36.8207)",1550082489,-1.29000664,36.82072646,esri_imagery\1550082489.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2901, 36.8265)",1550082494,-1.29010154,36.8265125,esri_imagery\1550082494.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2900, 36.8273)",1550082496,-1.2899900599999998,36.82733304,esri_imagery\1550082496.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2905, 36.8274)",1550082497,-1.29054996,36.82738002000001,esri_imagery\1550082497.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2907, 36.8275)",1550082498,-1.29067772,36.82753246000001,esri_imagery\1550082498.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2909, 36.8273)",1550082499,-1.2908503857142857,36.82733751428572,esri_imagery\1550082499.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2912, 36.8277)",1550082500,-1.29121682,36.82766384,esri_imagery\1550082500.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3034, 36.8298)",1550329422,-1.30342744,36.82982514,esri_imagery\1550329422.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3029, 36.8309)",1550329423,-1.3028926,36.83088122,esri_imagery\1550329423.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3034, 36.8302)",1550329424,-1.3033880999999998,36.830216060000005,esri_imagery\1550329424.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2946, 36.8759)",1552250767,-1.29458456,36.87585452,esri_imagery\1552250767.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2945, 36.8758)",1552250768,-1.2944829800000002,36.87583522,esri_imagery\1552250768.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
Lavington Mall,77869529,-1.2798946636363633,36.77014844545455,esri_imagery\77869529.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2804, 36.7698)",1054762876,-1.2803955,36.769772,esri_imagery\1054762876.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2826, 36.7667)",1550276794,-1.28262354,36.76674676,esri_imagery\1550276794.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2828, 36.7665)",1550276796,-1.28284754,36.7664842,esri_imagery\1550276796.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2801, 36.7696)",1550276798,-1.28011876,36.76960902,esri_imagery\1550276798.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2798, 36.7703)",1550276799,-1.27982164,36.77031446,esri_imagery\1550276799.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2789, 36.7706)",1550276800,-1.27893744,36.7705656,esri_imagery\1550276800.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2791, 36.7705)",1550276801,-1.2791222800000002,36.77045296,esri_imagery\1550276801.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2788, 36.7707)",1550276802,-1.27876712,36.770686780000005,esri_imagery\1550276802.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2787, 36.7707)",1550276803,-1.27870822,36.77071952,esri_imagery\1550276803.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2789, 36.7707)",1550276804,-1.27888172,36.77073638,esri_imagery\1550276804.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2860, 36.7911)",1550749752,-1.2859860399999998,36.79111092000001,esri_imagery\1550749752.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2780, 36.8120)",248994836,-1.2780427,36.81201245999999,esri_imagery\248994836.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2783, 36.8123)",248995504,-1.27832178,36.81225504,esri_imagery\248995504.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2807, 36.8179)",696914132,-1.280696811111111,36.81788815555555,esri_imagery\696914132.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2823, 36.8170)",1475486402,-1.282331211111111,36.81698324444445,esri_imagery\1475486402.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2821, 36.8169)",1475486403,-1.28214632,36.81686288,esri_imagery\1475486403.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2807, 36.8179)",1548270241,-1.2806762111111114,36.817940444444446,esri_imagery\1548270241.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2894, 36.8236)",1549267516,-1.28942662,36.8235662,esri_imagery\1549267516.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2869, 36.8227)",1549267525,-1.28694306,36.82271592000001,esri_imagery\1549267525.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2870, 36.8228)",1549267526,-1.28703572,36.82276956,esri_imagery\1549267526.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2895, 36.8217)",1549273027,-1.2895380600000002,36.8217376,esri_imagery\1549273027.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2895, 36.8217)",1549273028,-1.28947968,36.82169202,esri_imagery\1549273028.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2894, 36.8217)",1549273029,-1.2893741200000002,36.82169772,esri_imagery\1549273029.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2886, 36.8227)",1550834787,-1.28857378,36.82270528,esri_imagery\1550834787.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2885, 36.8227)",1550834788,-1.28852902,36.82268466000001,esri_imagery\1550834788.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2896, 36.8265)",687468463,-1.28956426,36.82645866,esri_imagery\687468463.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2899, 36.8259)",1547874388,-1.2898537600000002,36.82588194,esri_imagery\1547874388.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2886, 36.8270)",1547874389,-1.28856128,36.82697372,esri_imagery\1547874389.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2885, 36.8271)",1547874390,-1.28853536,36.827079100000006,esri_imagery\1547874390.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2872, 36.8264)",1547874391,-1.28718232,36.82639210000001,esri_imagery\1547874391.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2893, 36.8268)",1548802455,-1.2892547,36.8267632,esri_imagery\1548802455.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2899, 36.8271)",1550082495,-1.2899204000000002,36.82708,esri_imagery\1550082495.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
Dean and Lecturers Parking Lot,133548151,-1.26888122,36.81801148,esri_imagery\133548151.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2673, 36.8173)",1548810595,-1.2673425799999998,36.8172983,esri_imagery\1548810595.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2674, 36.8175)",1548810596,-1.26744664,36.81752286,esri_imagery\1548810596.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2675, 36.8173)",1548810597,-1.26754678,36.81727106,esri_imagery\1548810597.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.2669, 36.8169)",1548810600,-1.26692416,36.81690834,esri_imagery\1548810600.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
