facility_name,latitude,longitude,observed_datetime,hour_of_day,day_of_week,is_weekend,is_holiday,capacity,base_rate_kes,traffic_delay_index,occupied_bays,occupancy_rate,is_available
Unnamed Parking,-1.2597359,36.8182597,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,21,0.4143,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,29,0.575,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-01 09:00:00,9,5,1,0,50,300,1.15,31,0.6185,1
Unnamed Parking,-1.25013,36.8202579,2026-08-01 09:00:00,9,5,1,0,50,100,1.16,25,0.5042,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,30,0.5903,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-01 09:00:00,9,5,1,0,50,200,1.0,27,0.5389,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-01 09:00:00,9,5,1,0,50,50,1.0,23,0.4584,1
Student parking,-1.274479,36.805643,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,27,0.5389,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,32,0.633,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,25,0.5071,1
Unnamed Parking,-1.259848,36.8644681,2026-08-01 09:00:00,9,5,1,0,50,100,1.19,32,0.6352,1
Travel House Parking,-1.2861727,36.8214386,2026-08-01 09:00:00,9,5,1,0,50,100,1.18,15,0.3004,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,29,0.5758,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,26,0.517,1
Parking B,-1.2806414,36.8128716,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,24,0.4861,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,26,0.5173,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,18,0.351,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,25,0.4924,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,27,0.5386,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,31,0.6282,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,23,0.4685,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,22,0.4453,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-01 10:00:00,10,5,1,0,50,300,1.15,23,0.4699,1
Unnamed Parking,-1.25013,36.8202579,2026-08-01 10:00:00,10,5,1,0,50,100,1.16,29,0.5832,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,27,0.5363,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-01 10:00:00,10,5,1,0,50,200,1.0,23,0.4676,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-01 10:00:00,10,5,1,0,50,50,1.0,28,0.5511,1
Student parking,-1.274479,36.805643,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,26,0.5178,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,29,0.5875,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,23,0.4538,1
Unnamed Parking,-1.259848,36.8644681,2026-08-01 10:00:00,10,5,1,0,50,100,1.19,24,0.4838,1
Travel House Parking,-1.2861727,36.8214386,2026-08-01 10:00:00,10,5,1,0,50,100,1.18,24,0.4786,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,20,0.3929,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,27,0.5337,1
Parking B,-1.2806414,36.8128716,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,27,0.5309,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,26,0.5104,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-01 10:00:00,10,5,1,0,50,100,1.0,25,0.4912,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,20,0.3968,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,24,0.4763,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,24,0.4826,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,22,0.4458,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,25,0.4971,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-01 11:00:00,11,5,1,0,50,300,1.15,27,0.5423,1
Unnamed Parking,-1.25013,36.8202579,2026-08-01 11:00:00,11,5,1,0,50,100,1.16,33,0.6609,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,26,0.524,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-01 11:00:00,11,5,1,0,50,200,1.0,27,0.5306,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-01 11:00:00,11,5,1,0,50,50,1.0,25,0.504,1
Student parking,-1.274479,36.805643,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,18,0.3565,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,25,0.5079,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,26,0.5148,1
Unnamed Parking,-1.259848,36.8644681,2026-08-01 11:00:00,11,5,1,0,50,100,1.19,35,0.7071,1
Travel House Parking,-1.2861727,36.8214386,2026-08-01 11:00:00,11,5,1,0,50,100,1.18,25,0.4946,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,27,0.5341,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,25,0.5072,1
Parking B,-1.2806414,36.8128716,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,21,0.4165,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,30,0.6014,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-01 11:00:00,11,5,1,0,50,100,1.0,29,0.5702,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,24,0.4833,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,17,0.3472,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,27,0.5322,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,15,0.3079,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,23,0.4669,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-01 12:00:00,12,5,1,0,50,300,1.15,30,0.5952,1
Unnamed Parking,-1.25013,36.8202579,2026-08-01 12:00:00,12,5,1,0,50,100,1.16,17,0.3408,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,19,0.3747,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-01 12:00:00,12,5,1,0,50,200,1.0,21,0.428,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-01 12:00:00,12,5,1,0,50,50,1.0,19,0.3797,1
Student parking,-1.274479,36.805643,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,15,0.2959,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,21,0.4255,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,17,0.335,1
Unnamed Parking,-1.259848,36.8644681,2026-08-01 12:00:00,12,5,1,0,50,100,1.19,23,0.4579,1
Travel House Parking,-1.2861727,36.8214386,2026-08-01 12:00:00,12,5,1,0,50,100,1.18,17,0.3464,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,27,0.544,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,18,0.3573,1
Parking B,-1.2806414,36.8128716,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,20,0.3942,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,24,0.4851,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-01 12:00:00,12,5,1,0,50,100,1.0,16,0.3215,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,26,0.5282,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,31,0.6146,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,19,0.3814,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,26,0.5248,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,27,0.5308,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-01 13:00:00,13,5,1,0,50,300,1.15,29,0.5725,1
Unnamed Parking,-1.25013,36.8202579,2026-08-01 13:00:00,13,5,1,0,50,100,1.16,21,0.411,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,20,0.4044,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-01 13:00:00,13,5,1,0,50,200,1.0,28,0.5518,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-01 13:00:00,13,5,1,0,50,50,1.0,27,0.5338,1
Student parking,-1.274479,36.805643,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,27,0.53,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,27,0.5377,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,23,0.4556,1
Unnamed Parking,-1.259848,36.8644681,2026-08-01 13:00:00,13,5,1,0,50,100,1.19,26,0.5286,1
Travel House Parking,-1.2861727,36.8214386,2026-08-01 13:00:00,13,5,1,0,50,100,1.18,27,0.5334,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,23,0.4529,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,33,0.6593,1
Parking B,-1.2806414,36.8128716,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,27,0.5479,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,21,0.4147,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-01 13:00:00,13,5,1,0,50,100,1.0,28,0.5625,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,22,0.432,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,29,0.573,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,30,0.6027,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,22,0.4443,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,29,0.5871,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-01 14:00:00,14,5,1,0,50,300,1.15,27,0.543,1
Unnamed Parking,-1.25013,36.8202579,2026-08-01 14:00:00,14,5,1,0,50,100,1.16,29,0.5758,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,33,0.6617,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-01 14:00:00,14,5,1,0,50,200,1.0,25,0.4904,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-01 14:00:00,14,5,1,0,50,50,1.0,22,0.4497,1
Student parking,-1.274479,36.805643,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,22,0.4388,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,22,0.4447,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,25,0.5038,1
Unnamed Parking,-1.259848,36.8644681,2026-08-01 14:00:00,14,5,1,0,50,100,1.19,27,0.5373,1
Travel House Parking,-1.2861727,36.8214386,2026-08-01 14:00:00,14,5,1,0,50,100,1.18,27,0.5321,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,29,0.5762,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,26,0.511,1
Parking B,-1.2806414,36.8128716,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,31,0.6263,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,24,0.4888,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-01 14:00:00,14,5,1,0,50,100,1.0,36,0.7276,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,28,0.5601,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,22,0.4414,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,21,0.4243,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,27,0.5486,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,25,0.4921,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-01 15:00:00,15,5,1,0,50,300,1.15,28,0.5671,1
Unnamed Parking,-1.25013,36.8202579,2026-08-01 15:00:00,15,5,1,0,50,100,1.16,27,0.5479,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,25,0.5042,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-01 15:00:00,15,5,1,0,50,200,1.0,22,0.4423,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-01 15:00:00,15,5,1,0,50,50,1.0,19,0.3888,1
Student parking,-1.274479,36.805643,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,24,0.4743,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,29,0.5785,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,26,0.5271,1
Unnamed Parking,-1.259848,36.8644681,2026-08-01 15:00:00,15,5,1,0,50,100,1.19,21,0.4103,1
Travel House Parking,-1.2861727,36.8214386,2026-08-01 15:00:00,15,5,1,0,50,100,1.18,26,0.5239,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,27,0.5408,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,22,0.4393,1
Parking B,-1.2806414,36.8128716,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,26,0.5223,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,26,0.5147,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-01 15:00:00,15,5,1,0,50,100,1.0,21,0.4186,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,27,0.5386,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,28,0.5549,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,30,0.5966,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,30,0.5943,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,20,0.3998,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-01 16:00:00,16,5,1,0,50,300,1.15,22,0.435,1
Unnamed Parking,-1.25013,36.8202579,2026-08-01 16:00:00,16,5,1,0,50,100,1.16,28,0.5512,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,28,0.5511,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-01 16:00:00,16,5,1,0,50,200,1.0,28,0.5512,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-01 16:00:00,16,5,1,0,50,50,1.0,41,0.8182,1
Student parking,-1.274479,36.805643,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,28,0.5557,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,30,0.6008,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,29,0.5863,1
Unnamed Parking,-1.259848,36.8644681,2026-08-01 16:00:00,16,5,1,0,50,100,1.19,28,0.5621,1
Travel House Parking,-1.2861727,36.8214386,2026-08-01 16:00:00,16,5,1,0,50,100,1.18,24,0.4848,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,29,0.5707,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,22,0.4482,1
Parking B,-1.2806414,36.8128716,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,25,0.4911,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,24,0.4712,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-01 16:00:00,16,5,1,0,50,100,1.0,26,0.5165,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-01 17:00:00,17,5,1,0,50,100,1.0,30,0.6052,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-01 17:00:00,17,5,1,0,50,100,1.0,14,0.2706,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-01 17:00:00,17,5,1,0,50,100,1.0,24,0.4749,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-01 17:00:00,17,5,1,0,50,100,1.0,15,0.291,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-01 17:00:00,17,5,1,0,50,100,1.0,19,0.3822,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-01 17:00:00,17,5,1,0,50,300,1.15,25,0.5071,1
Unnamed Parking,-1.25013,36.8202579,2026-08-01 17:00:00,17,5,1,0,50,100,1.16,21,0.4251,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-01 17:00:00,17,5,1,0,50,100,1.0,17,0.3338,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-01 17:00:00,17,5,1,0,50,200,1.0,18,0.3628,1
